YEAR,WEEK,TAVG,TMAX,TMIN
2023,34,20.428571428571427,30.6,12.8
2023,35,18.75714285714286,32.2,9.4
2023,36,19.585714285714285,28.3,9.4
2023,37,18.900000000000002,27.8,10.0
2023,38,14.057142857142859,22.8,7.2
2023,39,13.700000000000001,23.9,8.3
2023,40,22.228571428571428,31.1,11.1
2023,41,14.757142857142856,23.3,8.3
2023,42,18.74285714285714,32.2,9.4
2023,43,12.157142857142857,22.2,5.0
2023,44,17.95714285714286,24.4,11.1
2023,45,12.200000000000001,19.4,6.7
2023,46,10.557142857142855,14.4,4.4
2023,47,11.514285714285714,20.0,5.0
2023,48,8.5,13.3,4.4
2023,49,10.885714285714286,21.7,3.3
2023,50,13.071428571428571,19.4,8.3
2023,51,9.757142857142856,15.6,6.1
2023,52,9.25,15.0,5.6
2024,1,6.3428571428571425,12.2,0.6
2024,2,5.542857142857143,12.2,0.6
2024,3,9.157142857142857,15.0,6.1
2024,4,11.642857142857142,23.3,5.0
2024,5,8.457142857142857,20.6,3.3
2024,6,5.385714285714286,12.8,1.7
2024,7,8.142857142857142,12.8,5.0
2024,8,9.557142857142859,18.9,3.3
2024,9,6.728571428571429,16.1,2.2
2024,10,6.985714285714287,15.0,1.7
2024,11,9.971428571428572,18.3,2.8
2024,12,10.5,21.1,3.9
2024,13,6.657142857142857,12.8,2.8
2024,14,7.728571428571429,20.0,0.0
2024,15,12.057142857142855,25.0,1.1
2024,16,15.728571428571428,24.4,4.4
2024,17,8.971428571428572,21.1,5.0
2024,18,10.971428571428572,20.6,1.7
2024,19,16.428571428571427,26.7,2.8
2024,20,15.828571428571427,25.0,4.4
2024,21,13.271428571428572,23.3,4.4
2024,22,17.285714285714285,26.7,8.3
2024,23,20.771428571428572,32.8,8.3
2024,24,19.685714285714287,33.3,10.6
2024,25,21.285714285714285,32.8,8.9
2024,26,22.557142857142857,29.4,13.3
2024,27,30.042857142857144,40.6,21.1
2024,28,27.900000000000002,37.8,17.2
2024,29,23.74285714285714,33.3,14.4
2024,30,23.857142857142858,35.0,7.8
2024,31,24.285714285714285,32.2,13.9
2024,32,26.385714285714283,35.0,19.4
2024,33,19.485714285714288,28.3,11.1
2024,34,16.75714285714286,27.2,9.4
2024,35,23.928571428571427,30.6,16.1
